Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bolivia,BOL,1108688418.86801,1534697097.11329,12774727337.1925,13518462720.6946,14285068712.0116,10186598887.1356,8311504860.39185,9341206390.69807,10470274257.4627,10210442517.0918,7425817969.41423,11243140347.7867
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bosnia and Herzegovina,BIH,..,1218360951.48375,5572978977.7953,6133981060.34892,6307817595.98426,5760340572.7247,6146602907.07539,7389802005.30137,8600062764.03138,8201185392.93687,6913440302.85381,9968951378.80987
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Botswana,BWA,2086912120.39774,3000196009.25164,6691601753.81192,8759967698.15095,9480511413.64289,7183590305.06467,8236800765.05339,6912351093.0282,7532893882.35294,6203255283.14692,4681134686.89443,7858650140.25056
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brazil,BRA,32028709720.4413,66777376061.4589,292803747887.973,290362691897.407,270452613727.157,232489103970.663,223864176667.717,258329886601.492,280545185833.926,264561034351.629,243286639296.245,323361431299.125
Exports of goods and services (current US$),NE.EXP.GNFS.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Brunei Darussalam,BRN,2176000000,4042036716.93736,13364276568.5019,12311381074.1688,11657150749.8027,6751036439.01375,5652190834.72091,6012294735.31755,7045834309.43732,7804997287.78771,6886074798.86932,11228914277.4222
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bulgaria,BGR,6833181818.18182,4797489756.51109,32772597897.5033,36043133821.9327,36875485687.1524,32398958286.1029,34460613687.7828,39660430423.5091,43598091732.0459,44060618775.0429,39419475033.5023,51548528237.9973
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burkina Faso,BFA,340110071.15132,262543939.662747,3340989789.37289,3640311463.70639,3755133897.1596,3089098202.89416,3325889934.21594,3731626622.06429,4461756442.78972,4467779364.78407,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Burundi,BDI,89130244.3724271,55005758.5302566,226243003.839985,222979905.739266,235295486.797682,199192403.223542,168508045.20934,163460229.95872,151245432.09896,133258585.342832,120542058.178623,138998735.910343
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cabo Verde,CPV,52576490.7976862,145630289.312716,704245132.589581,749300524.240874,750676236.985831,717082167.756528,735543570.396065,812736072.812859,962654298.731662,1003790836.50777,423385851.850857,476614904.187062
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cambodia,KHM,..,1821397244.68085,8136084082.96553,9500429495.11453,10456414664.8421,11140147276.578,12266568264.954,13457559457.2629,15135150382.1529,16549259440.9858,15793225848.7574,17417509553.2442
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cameroon,CMR,2485421378.01141,2626514742.44165,7200041493.17127,7973145800.48253,8590854824.6274,6760653981.81396,6407809848.57382,6624480523.5176,7489599808.4424,7874725000.89604,6212147272.51879,7575052201.79875
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Canada,CAN,149461775797.052,329258635782.102,554964544782.69,560108797442.998,573083180253.852,495747450357.728,481357649980.237,518766780219.71,556939410843.12,555851439082.698,483153046942.475,611121393735.116
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,3824312972.5189,3959078363.13453,4128045121.80487,3372614904.59618,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Central African Republic,CAF,245892968.903802,186767826.171772,289922972.255949,253274147.215345,315975075.203951,289437776.688114,270501999.9811,357682886.000818,354024715.431639,349974476.669665,353021266.326839,357002527.903324
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Chad,TCD,234367649.89132,234520125.090114,4757484164.62592,4347930831.08389,4762356368.19952,3285310490.30322,2655214530.54105,3387430128.68017,4067531256.38563,4157368098.56787,2862741202.70472,4564757550.84434
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Chile,CHL,10760217714.6605,23571802464.7159,90427251746.4558,88959111212.481,85613841160.6594,70787389826.3311,69612075674.0576,78297990798.2845,84275554762.1214,77541641202.3049,79693816697.4843,101112504544.894
Exports of goods and services (current US$),NE.EXP.GNFS.CD,China,CHN,44932593282.2455,253095146995.525,2175080625679.5,2354248580552.39,2462839435097.13,2362092880957.64,2199967569428.2,2424199911705.08,2655591916228.46,2628935396524.04,2729871520705.54,3553509241460.01
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Colombia,COL,9024672480.38864,15897088339.1542,69774770559.0529,69111201874.1384,63397043405.7392,45930515098.6219,41623750983.8154,47235694653.5682,53136579845.3584,51271146742.3269,36465851526.4076,51599165400.1063
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Comoros,COM,37963362.5637023,31027529.9630531,90876019.4433628,101000284.268301,111239529.269439,97918670.0850322,108098877.229645,128229503.784909,153462152.243673,152645352.931793,69481188.3983341,140072575.018788
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Congo, Dem. Rep.",COD,..,2185507246.37681,9027202464.46064,11910414647.3896,13226085525.3466,10512898980.653,8896176892.90775,13401989661.626,15485130709.7247,13393198495.2785,13935463039.123,22353947838.6733
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Congo, Rep.",COG,1449116806.34254,2591933855.33981,10276402426.1379,9506330841.32888,9521187838.64056,5080489780.56422,4598648747.16,6442158614.004,9709768353.74784,9408766860.49588,5976728064.96336,7813576416.95942
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Costa Rica,CRI,1952841380.81713,6445399583.37389,14949440013.9988,15586345071.9416,16313862272.8384,16930124511.5194,18395633885.4873,19826679615.149,21059634128.663,22111572396.8857,19601771162.4311,23226248400.9351
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cote d'Ivoire,CIV,3421191368.47657,4606906227.753,12699450563.6303,12469057450.5426,13752705785.6157,12532872742.5388,11796835871.9526,12855832026.0491,13134192041.8978,13918496153.8527,13231734148.3288,16083020558.465
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Croatia,HRV,..,7638094873.186,22335640412.7853,23470755729.6636,24940444720.9211,22948569293.4507,24555556090.3023,27661081728.7417,30780122852.6633,31534555620.3672,23840548540.8422,35358791830.0579
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cuba,CUB,8662106515.95745,4318900000,18659000000,18593000000,17812000000,14941000000,13690000000,14093000000,14530000000,12632000000,8769000000,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Curacao,CUW,..,..,2415921787.7095,2226256983.24022,2284301675.97765,2054301675.97765,1868156424.58101,1764972067.03911,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Cyprus,CYP,2879463636.36364,6986380772.8558,13846493639.9846,14687364855.8906,15318458881.3604,13939877954.0663,14834744299.3137,16943055806.5974,19188986773.7364,19845764021.0456,20354070816.6762,24606031933.767
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Czechia,CZE,13409039102.0999,29733777253.8249,157992900012.77,161004654093.942,171578513790.196,151477127902.841,155265095693.861,172776198149.125,191589920194.509,186582040576.045,172056182074.73,204941777056.793
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Denmark,DNK,50354023850.3054,73620705669.8544,178723084177.093,188383264163.235,192780904236.996,167735890269.837,167285255408.274,182923569688.047,201828694345.104,203211746226.714,195122346158.041,237621916036.214
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Djibouti,DJI,..,..,..,3197791277.3392,3507482741.48806,3525582232.82561,2703006397.66826,4146589316.96311,4563067954.82807,5149667174.954,3682879344.59068,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Dominica,DMA,..,..,158362962.962963,193466666.666667,272781481.481481,255900000,257177777.777778,213188888.888889,161955555.555556,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Dominican Republic,DOM,2165302159.4548,8628001112.38142,14917450220.3696,15775319666.4633,16896682553.4963,16909888521.6059,18100528866.1092,18945236857.9387,20149516087.6591,20518119286.7127,14425187964.511,20500497765.6843
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ecuador,ECU,3469125960.22029,5888259129.56478,26522271000,27243506000,28536122000,21107369000,19492639000,21727767000,24314052000,24917131000,21702981000,27803104000
