Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.19257974624634,-1.19309020042419,-1.12413370609283,-1.00620818138123,-1.33658170700073,-1.35537278652191,-1.14759039878845,-1.12304580211639,-1.40276098251343,-1.33802223205566
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.240491986274719,0.25416025519371,0.279037684202194,0.189514964818954,0.196168705821037,0.233086720108986,0.266459137201309,0.285658627748489,0.235864624381065,0.1927540153265
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-1.32038903236389,-1.13844060897827,-1.30188941955566,-1.23323774337769,-1.23002624511719,-1.25940835475922,-1.32996296882629,-1.3732773065567,-1.33929824829102,-1.17087244987488
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,0.358625292778015,0.362132906913757,0.177999645471573,0.168665841221809,0.132687509059906,-0.255901217460632,-0.287974953651428,-0.301867425441742,0.542312026023865,0.54862916469574
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.56186008453369,1.5587409734726,0.880748271942139,0.908654093742371,0.867859840393066,1.2051590681076,1.19189620018005,1.22653388977051,1.34330141544342,1.36252450942993
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-0.990437567234039,-1.0416704416275,-0.860683441162109,-0.84234482049942,-0.957892835140228,-1.02622818946838,-0.785790085792542,-0.820471882820129,-0.841778457164764,-0.66263210773468
Anguilla,AIA,Regulatory Quality: Estimate,RQ.EST,1.32121312618256,1.3194192647934,0.880748271942139,0.908654093742371,0.867859840393066,0.839894115924835,0.821928322315216,0.844433665275574,0.942806780338287,0.955576837062836
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.59927225112915,0.601454555988312,0.529373943805695,0.37015563249588,0.337577104568481,0.249312832951546,0.412241846323013,0.483430832624435,0.512654900550842,0.390355736017227
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,-0.897686779499054,-0.928134799003601,-1.0661495923996,-0.876747190952301,-0.337519019842148,-0.181595474481583,-0.183625966310501,-0.436932802200317,-0.483492195606232,-0.618144750595093
Armenia,ARM,Regulatory Quality: Estimate,RQ.EST,0.334273397922516,0.23518268764019,0.15851990878582,0.201865211129189,0.21440464258194,0.240957707166672,0.360776484012604,0.255927443504334,0.251729071140289,0.145152628421783
Aruba,ABW,Regulatory Quality: Estimate,RQ.EST,1.40213143825531,1.42087960243225,1.24536085128784,1.36690032482147,1.34424030780792,1.18979203701019,0.85468065738678,0.855567157268524,0.925700962543488,0.946877241134644
Australia,AUS,Regulatory Quality: Estimate,RQ.EST,1.77889716625214,1.79121994972229,1.85737347602844,1.78380656242371,1.89396524429321,1.92824327945709,1.90164244174957,1.87215864658356,1.82251787185669,1.83872807025909
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,1.51716470718384,1.48221373558044,1.48217010498047,1.39864838123322,1.43717646598816,1.4354202747345,1.53013467788696,1.45756649971008,1.40520918369293,1.34870600700378
Azerbaijan,AZE,Regulatory Quality: Estimate,RQ.EST,-0.488716810941696,-0.425340503454208,-0.26849365234375,-0.3532475233078,-0.386264741420746,-0.357856959104538,-0.302665323019028,-0.214039906859398,-0.323556035757065,-0.0596054568886757
"Bahamas, The",BHS,Regulatory Quality: Estimate,RQ.EST,0.390349686145782,0.186553150415421,0.169124856591225,0.162390649318695,0.253657579421997,0.119374871253967,0.178465887904167,-0.0504641570150852,0.0118174534291029,0.0641418769955635
Bahrain,BHR,Regulatory Quality: Estimate,RQ.EST,0.684159576892853,0.602282524108887,0.704518795013428,0.815443456172943,0.604506552219391,0.41257381439209,0.414948463439941,0.483154505491257,0.626398086547852,0.849090099334717
Bangladesh,BGD,Regulatory Quality: Estimate,RQ.EST,-0.95947253704071,-0.923936903476715,-0.95516049861908,-0.908241212368011,-0.804246246814728,-0.813100755214691,-0.842074036598206,-0.931169450283051,-0.90426778793335,-0.845715045928955
Barbados,BRB,Regulatory Quality: Estimate,RQ.EST,0.448699444532394,0.452514410018921,0.335401326417923,0.561835467815399,0.477260142564774,0.490751981735229,0.541954517364502,0.410327404737473,0.480148494243622,0.560486197471619
Belarus,BLR,Regulatory Quality: Estimate,RQ.EST,-1.17406153678894,-1.15944516658783,-1.09945023059845,-1.14344775676727,-1.07978904247284,-0.841620028018951,-0.801075875759125,-0.663383305072784,-0.784566402435303,-0.919227361679077
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.22217035293579,1.28374707698822,1.15288519859314,1.28321957588196,1.33736717700958,1.24228143692017,1.26682615280151,1.289381980896,1.35435712337494,1.34247267246246
Belize,BLZ,Regulatory Quality: Estimate,RQ.EST,-0.436850935220718,-0.447350561618805,-0.461533755064011,-0.421569585800171,-0.483711928129196,-0.539396584033966,-0.652213215827942,-0.548786401748657,-0.536648392677307,-0.41518360376358
Benin,BEN,Regulatory Quality: Estimate,RQ.EST,-0.40126171708107,-0.415549963712692,-0.620842099189758,-0.601894319057465,-0.573481380939484,-0.507834851741791,-0.38123407959938,-0.432607293128967,-0.468183726072311,-0.431484639644623
Bermuda,BMU,Regulatory Quality: Estimate,RQ.EST,1.32121312618256,1.3194192647934,0.880748271942139,0.908654093742371,0.867859840393066,0.839894115924835,0.821928322315216,0.844433665275574,0.942806780338287,0.955576837062836
