Country ID,Year,ln(GDP per capita),ln(Exportations),Political Stability,Regulation Quality
0,2012,10.150736450333712,21.37127539256375,1.26388156414032,1.40213143825531
0,2013,10.185491462701826,21.45960092612712,1.31222629547119,1.42087960243225
0,2014,10.201453117284617,21.50458759109102,1.16456782817841,1.24536085128784
0,2015,10.254897186287499,21.492753133444015,1.23092126846313,1.36690032482147
0,2016,10.255948209888238,21.485480374114942,1.28419923782349,1.34424030780792
0,2017,10.286253917629756,21.531336599483176,1.33503770828247,1.18979203701019
0,2018,10.316278908804609,21.583252210151933,1.35655319690704,0.85468065738678
0,2019,10.362517456880807,21.623498061428577,1.34979605674744,0.855567157268524
0,2020,10.105932908909162,21.021854472033194,1.39027285575867,0.925700962543488
0,2021,10.286778653004996,21.490699946035498,1.47433543205261,0.946877241134644
1,2012,8.509675418018645,24.970677096407847,-0.389322549104691,-0.990437567234039
1,2013,8.537384738448091,24.93831384152614,-0.39123347401619,-1.0416704416275
1,2014,8.528940014795719,24.839721511803063,-0.333232045173645,-0.860683441162109
1,2015,8.039425317579283,23.979504965080682,-0.500897765159607,-0.84234482049942
1,2016,7.443965295932209,23.36356394563489,-0.315898835659027,-0.957892835140228
1,2017,7.733339480303901,23.71924469958664,-0.380449026823044,-1.02622818946838
1,2018,7.819033869254847,24.18171753270423,-0.335691750049591,-0.785790085792542
1,2019,7.66960670937513,24.065127471952046,-0.358524978160858,-0.820471882820129
1,2020,7.380251721992543,23.67352727441495,-0.514614641666412,-0.841778457164764
1,2021,7.57739519472211,24.119240640820568,-0.710836231708527,-0.66263210773468
2,2012,8.354116470495144,21.994443754661095,-0.143631592392921,0.240491986274719
2,2013,8.392324059768852,22.03008729464258,0.0919297859072685,0.25416025519371
2,2014,8.429155806395945,22.040225514145707,0.485986232757568,0.279037684202194
2,2015,8.282180109626879,21.856246368113723,0.346129059791565,0.189514964818954
2,2016,8.324592276148186,21.957901647631406,0.344644665718079,0.196168705821037
2,2017,8.418702220484283,22.13675964932156,0.378474771976471,0.233086720108986
2,2018,8.573131781640168,22.288789014146953,0.370515644550323,0.266459137201309
2,2019,8.593453221039592,22.29633654756037,0.111168630421162,0.285658627748489
2,2020,8.581511777351423,21.9574388276392,0.0875523090362549,0.235864624381065
2,2021,8.778460240662637,22.44433961401971,0.109445847570896,0.1927540153265
3,2012,9.479043298883855,25.208027866767292,0.103040546178818,-0.897686779499054
3,2013,9.478859099770844,25.113886337078757,0.0653142631053925,-0.928134799003601
3,2014,9.42017967255805,25.051613015652784,-0.0051218713633716,-1.0661495923996
3,2015,9.531630833931784,24.877007429668033,0.014785380102694,-0.876747190952301
3,2016,9.456437852426392,24.969508344864035,0.204625502228737,-0.337519019842148
3,2017,9.589669684624665,25.011813708322453,0.169504255056381,-0.181595474481583
3,2018,9.375444504817766,25.050923096187823,0.0108913751319051,-0.183625966310501
3,2019,9.206701008138715,25.108530587430497,-0.0914442017674446,-0.436932802200317
3,2020,9.047400664759612,24.88279862737123,-0.0792135149240494,-0.483492195606232
3,2021,9.272011053128155,25.199098043173716,-0.106366641819477,-0.618144750595093
4,2012,8.20075909490327,21.797201811846264,0.154794976115227,0.334273397922516
4,2013,8.2514441635423,21.8717226999023,0.11038514226675,0.23518268764019
4,2014,8.29834784164734,21.921940994672706,-0.297135800123215,0.15851990878582
4,2015,8.206895128089023,21.866539431488924,-0.252332627773285,0.201865211129189
4,2016,8.210654980024454,21.992666025564603,-0.662263810634613,0.21440464258194
4,2017,8.30449366609986,22.206083012410996,-0.620771169662476,0.240957707166672
4,2018,8.387522609927537,22.314039420108195,-0.444908142089844,0.360776484012604
4,2019,8.4822922117307,22.451674722311406,-0.413424372673035,0.255927443504334
4,2020,8.413135685133136,22.048429095390535,-0.760855317115784,0.251729071140289
4,2021,8.510473358069664,22.31210606406447,-0.835592269897461,0.145152628421783
5,2012,9.385978065632475,19.995527211616846,0.952990829944611,0.358625292778015
5,2013,9.39589599284771,19.942379742078458,0.928985774517059,0.362132906913757
5,2014,9.418491890852202,19.87696747689229,1.08068346977234,0.177999645471573
5,2015,9.480485198135115,19.87463375354607,1.18135726451874,0.168665841221809
5,2016,9.495581313151112,19.87696747689229,1.19323575496674,0.132687509059906
5,2017,9.423262646165826,19.707154769790044,1.21886312961578,-0.255901217460632
5,2018,9.487664174770282,19.89315280131331,1.2167763710022,-0.287974953651428
5,2019,9.523147401882701,19.80447197485414,1.17218911647797,-0.301867425441742
5,2020,9.648693771442359,19.869949904233646,1.17400634288788,0.542312026023865
5,2021,9.664170840278558,19.626651550940974,1.0492981672287,0.54862916469574
6,2012,11.12792033888025,26.53012120542976,0.997997224330902,1.77889716625214
6,2013,11.129592324177905,26.47599968454508,1.03107297420502,1.79121994972229
6,2014,11.043136392179406,26.45854318322017,1.03219199180603,1.85737347602844
6,2015,10.94571370069241,26.325541531189877,0.884979844093323,1.78380656242371
6,2016,10.817286485323628,26.17227032917292,1.04795801639557,1.89396524429321
6,2017,10.895556037867047,26.363878154345063,0.896060824394226,1.92824327945709
6,2018,10.954446781702087,26.467599282654113,0.989603996276855,1.90164244174957
6,2019,10.914023063775145,26.5411042834417,0.911745727062225,1.87215864658356
6,2020,10.853607001526768,26.4870960193777,0.850844323635101,1.82251787185669
6,2021,11.009457857237576,26.56027864142341,0.850988686084747,1.83872807025909
7,2012,10.790656683685029,26.121289209925035,1.34056687355042,1.51716470718384
7,2013,10.834294950975888,26.160908629743812,1.36410057544708,1.48221373558044
7,2014,10.85488240475627,26.188287155657918,1.27070045471191,1.48217010498047
